DRUG,TIMES_USED,DOSE_VAL_RX
Lidocaine 1% P,90427,
Morphine Sul,90427,
Povidone Iodine 10% Ointment,90427,
NEO*PO*Fluconazole,90427,
sodium Bica,90427,
Scopolamine Base,90427,
Lidocain,90427,
Rivastigmine,90427,
Flunisolide,90427,
Chloroprocaine 2%,90427,
Abacavir Sulfate,90427,
Clomipramine HCl,90427,
Nafcillin Sodium,90427,
Theophylline (Slo-bid) Capsule,90427,
Hydroxypropyl Methylcellulose,90427,
Prograf Suspension,90427,
Viagra,90427,
Bevacizumab (Avastin),90427,
NEO*IV*Ampicillin Sodium,90427,
Amitriptyline,90427,
Sulfameth/Trimethoprim,90427,
Testosterone ,87005,
fluocinolone acetonide oil,87005,
olopatadine,87005,
Iodine Strong (Lugols),87005,
Lindane Shampoo,87005,
Xopenex HFA,87005,
Ceftriaxone Sodium,87005,
Colazal,87005,
Synarel,87005,
Nelarabine (NF),87005,
Tucks,87005,
codeine-guaifenesin,87005,
*NF* Imatinib,87005,
Fenofibrate Nanocrystallized,87005,
Intralipid/Liposyn III (Glass),87005,
albendazole,87005,
Hydromorphone P.F.,87005,
Sulfasalazine,87005,
Fluorouracil,87005,
Foradil Aerolizer,87005,
Candesartan,87005,
Anzemet,87005,
Hepsera,87005,
Ritonavir/Lopinavir,87005,
Heparin Flush (1000 units/mL),87005,
Xopenex Neb,87005,
Testosterone 2.5,87005,
Paxil Cr,87005,
Metoprolol XL (Toprol XL),87005,
Nitrofurantoin Monohyd (MacroBID),87005,
*NF* Guaifenesin LA,87005,
Soln.,87005,
Ferrous Sulfate (Liquid),87005,
Sonata,87005,
MAGNESIUM SULFATE,87005,
naltrexone,87005,
Moexipril,87005,
Ethanol 70% Catheter DWELL (Tunneled Access Line),87005,
NS (Mini Bag Plus),87005,
Glatiramer,87005,
Efudex,87005,
Magnesium Sulfate (Latex Free),87005,
Lac-Hydrin,87005,
Daptomycin,87005,
Coenzyme Q10 study drug,87005,
sotalol,87005,
Quinine Sulfate,87005,
Critic-Aid,87005,
Lidocaine 1% PF,87005,
Sodium Thiosulfate,87005,
Calcium,87005,
Pioglitazone HCl,87005,
Megestrol Oral Soln,87005,
Molindone HCl,87005,
*NF* Tacrolimus 0.1% Ointment,87005,
MetRONIDAZOLE (FLagyl),87005,
Omnipred,87005,
Sodium Chloride 3% (Hypertonic),87005,
eryth,87005,
potass,87005,
Carbamazepine,87005,
ZYPREX,87005,
Oxandrin,87005,
Taclonex,87005,
CILOSTAZOL,87005,
*nf,87005,
Fenofibrate Micronized,87005,
Levobunolol 0.25%,83392,
Mupirocin Ointment 2%,83392,
Hydrocortisone Oint 1%,83392,
Acetaminophe,83392,
Ultralente Humulin Insulin,83392,
Mevacor,83392,
*NF* Diltiazem SR,83392,
Cabergoline,83392,
Dostinex,83392,
valpr,83392,
LaMICtal (Brand Name),83392,
Stalevo 150,83392,
sitagliptin-metformin,83392,
rocuronium,83392,
NEO*PO*Potassium Phosphate,83392,
NEO*IV*Cefazolin,83392,
Maalox,83392,
Isosorbide ,83392,
bimatoprost,83392,
Dextromethorphan Poly Complex,83392,
Tretinoin,83392,
Tolvaptan / Placebo,83392,
Muro-128,83392,
Clindamycin Solution,83392,
Revatio (sildenafil citrate),83392,
Vyvanse,83392,
Carisoprodol (Soma),83392,
amphotericin B (bulk),83392,
"meningococcal vac A,C,Y,W-135",83392,
Telavancin *NF*,83392,
Multi,83392,
Florastor,83392,
Talc,83392,
Letairis (Ambrisentan),83392,
Thera Tears,83392,
Morphine Sulfate IR,83392,
Prochlorperazine (Rectal),83392,
Nitrofurantoin (Macrodantin),83392,
Fosamprenavir,83392,
Tuberculin Protein,83392,
Rimantadine,83392,
Duloxetine,83392,
Loperamide,83392,
Calcipotriene 0.005% Oint,83392,
POTASSIUM CHLORIDE,83392,
Carbidopa-Levodopa CR (25-100),83392,
Fluphenazine DECANOATE,83392,
NEO*IV*Amphotericin B,83392,
sodium bicarbo,83392,
Coenzyme Q10 Study Drug,83392,
Fluticasone-Salmeterol Diskus (100/50),83392,
hepar,83392,
Aminocaproic Acid ,83392,
Prozac,83392,
*NF* Ivermectin,83392,
Clindamycin Phosphate,83392,
gua,83392,
TB Syringe,83392,
Methylprednisolone Sodium Succ,83392,
anastrozole,83392,
*NF* Mycophenolate Sodium,83392,
Methylene Blue 1%,83392,
6 Syringes (NS),83392,
Varicella Zoster Immune Glob,83392,
Gammagard Liquid,83392,
Loperamide Hcl,83392,
Epoprostenol Na,83392,
regular insulin,83392,
NEO*PO*Ergocalciferol,83392,
Glyburide/Metformin (5mg-500mg),83392,
Betaxolol Hcl  0.25%,83392,
Multivitamin-12,83392,
Butalbital-Acet-Caffeine,83392,
Dimenhydrinate,83392,
bismu,83392,
Simulect,78768,
Fluticasone-Salmeterol Diskus (500/50) ,78768,
maribavir 100 mg or placebo tab,78768,
alb,78768,
PARoxetine HCl,78768,
fentaNYL citrate (PF),78768,
gatifloxacin,78768,
Prednisolone,78768,
URSO Forte,78768,
Acetaminophen w/Codeine Elixir,78768,
Glycerin,78768,
alora,78768,
tucks,78768,
Pergolide Mesylate,78768,
Celexa,78768,
mul,78768,
Indigotindisulfonate Sodium,78768,
Sulfameth/Trimethoprim ,78768,
Ramipril,78768,
Refresh Liquigel,78768,
Paricalcitol,78768,
Debrox 6.5%,78768,
Loteprednol Etabonate,78768,
M,78768,
Seasonale,78768,
Sodium Chloride 0.9%,78768,
Hydrocortisone Acetate Ointment 1%,78768,
Venlafaxine ,78768,
ASPIRIN,78768,
NS (Irrigation Bottle),78768,
Escitalopram Oxalate,78768,
Povidone Iodine 1/4 Strength,78768,
Cidofovir,78768,
Ropinirole Hydrochloride,78768,
Fentanyl,78768,
Digoxin Immune Fab,78768,
Adefovir Dipivoxil,78768,
Aldesleukin,78768,
aspirin,78768,
Chantix,78768,
Carteolol 1% Ophth Soln,78768,
Hydralazine HCl,78768,
Phenytoin Sodium,78768,
Hydromorphone Hcl,78768,
Melphalan HCl,78768,
Nitroglycerin ,78768,
Lofibra,78768,
senna,78768,
Papain,78768,
AMOXicillin,78768,
*NF* Iron Sucrose,78768,
Maxalt,78768,
Enalaprilat,78768,
Epzicom,78768,
Wellbutrin XL,78768,
Trimethobenzamide HCl,78768,
Salagen,78768,
Vigamox 0.5%,78768,
Syringe (Intraperitoneal),78768,
Olux-E,78768,
Nitrofurantoin Suspension,78768,
Hyzaar(Losartan/HCTZ),78768,
methadone,78768,
esomeprazole magnesium,78768,
sevelamer ,78768,
Atgam,78768,
glatiramer,78768,
Morphine Sulfate (4-8mg),78768,
Bromday,78768,
LANSOP,78768,
Preparation H,78768,
valproic acid,78768,
rev,78768,
Nystatin-Triamcinolone Ointment,78768,
Cangrelor Study Drug (*IND*),78768,
Triamterene-Hydrochlorothiazide,78768,
*NF* Allopurinol Sodium,78768,
Vinorelbine,78768,
BusPIRone,78768,
Heparin Flush (5000 Units/mL),78768,
Influenza A (H1N1) Vac 09 (PF),78768,
Cardizem CD,78768,
Felbatol,78768,
NiCARdipine,78768,
Plasmanate,78768,
Neoral capules,78768,
ICPKIT,78768,
DDAVP,78768,
neoral,78768,
Neo-Synephrine,78768,
Valacyclovir,78768,
Milrinone Lactate,78768,
*NF* Budesonide,78768,
Lorazepam 2 mg syringe ,78768,
Cryselle (28),78768,
Multivita,78768,
Belladonna & Opium,78768,
mycophenolate mofetil,78768,
*NF* Estradiol Transdermal Patch,78768,
NEO*PO*Hydralazine,78768,
Ampicillin-Sulbactam,78768,
Pacerone,78768,
Isosorbide Mononitrate,78768,
abiraterone (Zytiga),78768,
Propranolol Oral Solution,78768,
triaz,78768,
Sodium Bicarbonate 4.2% (2.4mEq),78768,
Levalbuterol Tartrate,78768,
Syringe (Neonatal) *NS*,78768,
Westcort,78768,
Tranylcypromine Sulfate,78768,
Mesalamine (Rectal),78768,
Menthol-Cetylpyridinium Cl,78768,
Sunol-cH36 Study Drug (*IND*),73986,
Beclomethasone Dipropionate,73986,
PHENObarbital Elixir,73986,
Efavirenz,73986,
Heparin Flush (10 Units/mL),73986,
Iron Dextran (Test Dose),73986,
Paliperidone ER,73986,
Lasix,73986,
Vecuronium Bromide,73986,
Bacitracin,73986,
Insulin novolog,73986,
Caspofungin,73986,
Levothy,73986,
Tuckables Pad,73986,
VICOdin,73986,
Proglycem,73986,
Tobramycin Fortified Ophth. 15mg/ml,73986,
DiphenhydrAMINE HCl,73986,
Neo*Nasal*Sodium Chloride 0.9%,73986,
Amphotericin B Oral Suspension,73986,
Clonidine Patch,73986,
Clotrimazole,73986,
Clobetasol Propionate 0.05% Ointment,73986,
Doc,73986,
Propranolol,73986,
Anamorelin HCl vs placebo,73986,
ropinirole,73986,
ChlorproMAZINE,73986,
Potassium Chloride Oral Sol,73986,
Miconazole,73986,
NS Epidural Bag (0.9% NaCl),73986,
Haemophilus B Conj. Vaccine,73986,
Clonidine T,73986,
Solution,73986,
Oxycodone (Sustained Release),73986,
Torsemide,73986,
Colistin,73986,
Combivent,73986,
Procainamide SR,73986,
quiniDINE Gluconate,73986,
depak,73986,
Heparin CRRT,73986,
CeftazIDIME,73986,
NPH insulin human recomb,73986,
Neomycin/Polymyxin B Sulfate,73986,
colestipol,73986,
Hydroxyzine HCl,73986,
Fluorometholone 0.1% Ophth Susp.,73986,
Magnesium Citrate,73986,
XIBROM,73986,
Glucotrol XL,73986,
DTaP-HepB-IPV Combined,73986,
Bupropion HCl,73986,
METOPROLOL,73986,
RisPERDal,73986,
Hydromorphone-HP,73986,
Pravastatin,73986,
Creon 12,73986,
Latanoprost 0.005% Ophth. Soln.,73986,
Tucks Pads,73986,
Phenazopyridine HCl,73986,
Excedrin Migraine,73986,
NEO*PO*Chlorothiazide,73986,
Parecoxib/Placebo Study Med,73986,
NEO*IM*Haemophilus B  Conj Vac,73986,
PredniSONE,73986,
Heparin Flush (10 units/ml),73986,
pramipexole,73986,
Albumin ,73986,
Piperacillin Sodium,73986,
Cyclophosphamide,73986,
Betamethasone Dipro 0.05% Augmented Gel,73986,
VALACYCLOVIR,73986,
Telbivudine,73986,
Imatinib Mesylate,73986,
*NF* Ertapenem Sodium,73986,
SYMLIN,73986,
Tacro,73986,
Albuterol 0.083% Neb Soln,73986,
Multaq (dronedarone),73986,
Insulin Aspart,73986,
Viibryd,73986,
Niacin Flush Free,73986,
Rufinamide,73986,
Clarinex,73986,
Vytorin 10-20,73986,
Beclomethasone Dipro. AQ (Nasal),73986,
Venlafaxi,73986,
Sincalide,73986,
Ciprofloxacin Hcl,73986,
tacro,73986,
albuter,73986,
ClomiPRAMINE,73986,
glimepiride,73986,
anakinra,73986,
Pilocarpine 0.5%,73986,
Chlorpheniramine-Hydrocodone,73986,
anakINRA,73986,
Glucovance (2.5mg-500mg),73986,
Cetylpyridinium Chl (Cepacol),73986,
Clofarabine,73986,
Hespan,73986,
Atrovent,73986,
Insulin Glargine,73986,
Nitroglycerin SR,73986,
Raloxifene HCl,73986,
Methylene Blue,73986,
*NF* Renacidin Soln,73986,
Acetylcystei,73986,
Colchicine,73986,
prednis,73986,
Guaifenesin ER,73986,
Guaifenesin-Dextromethorphan,73986,
valganciclovir,73986,
Xylocaine,73986,
rosuvastatin,73986,
D30W,73986,
maa,73986,
robit,73986,
Cimetidine,73986,
Acyclovir suspension,73986,
Ethosuximide,73986,
Femhrt 1/5,73986,
Heparin Flush (10 units/mL),73986,
Terbinafine,73986,
Bivalirudin,73986,
Delavirdine Mesylate,73986,
Beclomethasone ,73986,
Dobutamine Hcl,73986,
Aripiprazole,73986,
Fluocinonide 0.05% Ointment,73986,
Dipyridamole-Aspirin,73986,
Basiliximab,73986,
Ayr Saline Gel,73986,
Zomig,73986,
K-Lor,73986,
Magnesium Sulfate ,73986,
Glucovance (5mg-500mg),73986,
dutasteride,73986,
ammonium lactate,73986,
Vitamin E,73986,
pravastatin,73986,
leva,73986,
HYDROmorphone PCA,73986,
cisatracurium,73986,
Triamcinolone Acetonide 0.1% Cream,73829,
Tolvaptan,73829,
Adderall XR,73829,
NEO*IV*Metoclopramide,73829,
Chloral Hydrate,73829,
HYDROmorphone-HP,73829,
Cidofovir 0.25% Oral Soln,72522,
Endur-Acin,72522,
Triethanolamine Solution,72522,
NS Epidural Bag,72522,
guaifen,72522,
Demeclocycline HCl,72522,
NEO*IV*CefazoLIN,72522,
ACETAMINOPHEN,72522,
Carbamide Peroxide 6.5%,72522,
Riboflavin,72522,
Epinephrine-Sodium Chloride,72522,
Aspirin ,72522,
Gentamic,72522,
VALPR,72522,
riboflavin,72522,
*NF* Pramipexole,72522,
sodium bi,72522,
Multivitam,72522,
Ganciclovir,72522,
Afrin Sinus,72522,
Multivitamins w/Minerals,72522,
Glutamine,72522,
D5W (Excel),72522,
Nephrocaps,72522,
Ear Wax Removal Drops,72522,
Maxair Autohaler,72522,
Cipro,72522,
Proventil HFA,72522,
Diltiazem,72522,
Xenazine,72522,
Timolol Maleate 0.5% XE,72522,
Molindone,72522,
Aztreonam  Desensitization ,72522,
Pregabalin Oral Solution,72522,
Tykerb,72522,
CombiPatch,72522,
Pyridostigmine ,72522,
albu,72522,
Benicar,72522,
Neomycin-Polymyxin-Bacitracin,72522,
Symbicort,72522,
NEO*PO*AcetaZOLamide (20mg/1ml),72522,
CycloSPORINE (Neoral) MODIFIED,72522,
Venlafaxine,72522,
Propranolol HCl,72522,
Albuterol Sulfate-Ipratropium,72522,
Ultram,72522,
Carn,72522,
Morphine S,72522,
Lotrel,72522,
Sulfamylon,72522,
Tricor,72522,
cabergoline,72522,
Maxalt-MLT,72522,
cromol,72522,
epinephrine,72522,
Oxycodone ,72522,
norethindrone (contraceptive),72522,
D12.5W,72522,
Methylpre,72522,
Prednisone,72522,
adder,72522,
Humulin-R Insulin,72522,
Methylprednisolone Na Succ.,72522,
*NF* Lidocaine 5% Patch,72522,
Clobetasol,72522,
Neo*PO*Gentian Violet 0.25 %,72522,
Phenylephrine  0.05% Nasal Spray,72522,
Divalproex,72522,
Metronidazole Gel 0.75%-Vaginal,62134,
Acetaminophen (Childrens),62134,
Cortef,62134,
Divalproex (DELayed Release),62134,
Amantadine Syrup,62134,
Acetaminophen w/Codeine,62134,
carbidopa,62134,
DAUNOrubicin Citrate Liposomal,62134,
Mitotane,62134,
Methazolamide,62134,
Tegretol XR,62134,
Atazanavir,62134,
Concerta,62134,
Olopatadine HCl,62134,
Phenytoin Sodium (IV),62134,
Isoproterenol,62134,
Aggrastat,62134,
Methylprednisolone Na Succ,62134,
RiTONAvir,62134,
Bupivacaine 0.50%-Epinephrine,62134,
Hydrocortisone Na Succinate,62134,
Starter PN D5,62134,
Trace Minerals Cr-Cu-Mn-Se-Zn,62134,
Betaxolol HCl  0.25%,62134,
Hydroxypropyl Meth. 2.5% Ophth,62134,
Morphine Sulfate (1-10mg),62134,
lamotrigine,62134,
Amoxicillin-Clavulanic Acid,62134,
Iron Dextran,62134,
NEO*PO*Bicitra,62134,
Amikacin Inhalation,62134,
Valium,62134,
Ampicillin Sodium,62134,
Aspirin 325 mg or Placebo,62134,
*NF* Collagenase Oint,62134,
Mepe,62134,
Neulasta,62134,
TIMOP,62134,
Sulfazine EC,62134,
Naltrexone HCl,62134,
Mexiletine,62134,
MultiVi,62134,
Tolazamide,62134,
Trazodone HCl,62134,
Peridex,62134,
Cinryze (C1 estrase inhibitor),62134,
Thiothixene,62134,
dextrose 20 %,62134,
Etidronate Disodium,62134,
Dakins Full Strength,62134,
lidoca,62134,
Alfuzosin,62134,
Vivelle-Dot,62134,
Interferon Alfa 2A (INFERGEN),62134,
Lopinavir-Ritonavir (Oral Soln),62134,
*IND* Pexelizumab/Placebo,62134,
albumi,62134,
Doxazosin,62134,
Clonidine ,62134,
Influenza Virus,62134,
Propafenone HCl,62134,
lansoprazole,62134,
Megestr,62134,
Levobunolol HCl 0.5%,62134,
Calcium Carbonate,62134,
HumuLIN 70/30,62134,
Phenylephrine,62134,
levocar,62134,
Creon 10,62134,
Pred Forte,62134,
Pentamidine-Inhalation,62134,
artif,59824,
Ropinirole HCl,55352,
EPINEPHRINE,55352,
Loestrin 24 Fe,55352,
Ranexa,55352,
NEO*PO*Chloral Hydrate,55352,
iso,55352,
cephalexin,55352,
Yellow CADD Cassette,55352,
Meperidine (PF),55352,
scopolamine base,55352,
Propofol Diprivan,55352,
AccoLATE,55352,
*NF* Valacyclovir,55352,
HydrALAZINE,55352,
coenzyme Q10,55352,
Theophylline,55352,
Multivitamin,55352,
Heparin Flush (100 units/mL),55352,
flomax,55352,
VinBLAStine (Velban),55352,
Acetic Acid 0.25% Irrig. Soln,55352,
Temsirolimus,55352,
GlipiZ,55352,
Budesonide (Nasal),55352,
Cromolyn Sodium (Nasal Inhalation),55352,
kaolin,55352,
HEParin (Porcine) in NS (PF),55352,
Dutasteride (Avodart ),55352,
Morphine Infusion ? Comfort Care Guidelines,55352,
Calcium gluco,55352,
Acetaminop,55352,
fenofibrate micronized,55352,
*NF* Imiglucerase,55352,
levothy,55352,
Benefiber,55352,
Imatinib,55352,
Chromium Picolinate,55352,
orphenadrine citrate,55352,
Excedrin Extra Strength,55352,
Carboplatin,55352,
Carvedilol,55352,
Diflunisal,55352,
Tol,55352,
*NF* Fenoldopam Mesylate,55352,
Alum-Mag Hydroxide-Simethicone,55352,
Quetiapine Oral Suspension,55352,
Oxymorphone HCl,55352,
Hyoscy,55352,
Alternagel,55352,
Dasatinib,55352,
Asacol,55352,
methylph,55352,
Concerta ,55352,
triamterene-hydrochlorothiazid,55352,
Ribavirin,55352,
Sodium Chloride 23.4%,55352,
Cefazolin Ophthalmic Solution,55352,
Hydrocortisone Cream 0.5%,55352,
Conjugated Estrogens,55352,
Aminocaproic,55352,
Parcopa,55352,
Botulinum Toxin Type B,55352,
MEGACE,55352,
NEO*IV*Gentamicin,55352,
Avandamet,55352,
Aprotinin,55352,
Acetami,55352,
Sodium Chloride (Hypertonic),52110,
Pentamidine Isethionate,52110,
*NF* Glimepiride,52110,
sutent (sunitinib),52110,
Paroxetine,52110,
Aluminum Hydroxide,52110,
Zinc,52110,
Olanzapi,52110,
*NF* Pregabalin,52110,
Levalbuterol HCl (Bulk),52110,
Etravirine,52110,
Nystatin Oral Susp.,52110,
Nystatin Cream,52110,
Revlimid,52110,
SIMETHICONE,52110,
Ranitidine HCl,52110,
Glucose Tab,52110,
Liothyronine,52110,
Code EPA/DHA 26 Study Med,52110,
Dexamethasone Ophthalmic Soln 0.1%,52110,
Dicloxacillin,52110,
23.4% Sodium Chloride,52110,
ESCITALOPRAM,52110,
Bactrim SS,52110,
Nia,52110,
L-Carnitine,52110,
Alteplase (Catheter Clearance),52110,
Albuterol Neb Soln,52110,
insulin detemir,52110,
Lunesta,52110,
Gemcitabine HCl,52110,
Lactated Ringers,52110,
Sulfameth/Trimethoprim DS,52110,
PACLItaxel,52110,
Floxin,52110,
LIDODERM PATCHES 5%,52110,
Vytorin 10-40,52110,
Phenytoin (Suspension),52110,
Junel 1.5/30 (21),52110,
Symbicort 160-4.5mcg,52110,
mucin,52110,
EMLA,52110,
Rifabutin,52110,
Disopyramide Phosphate,52110,
Danazol,52110,
Nifedipine CR,52110,
Nifedipine (Bulk),52110,
Naphazoline-Pheniramine Ophth. Solution,52110,
Heparin,52110,
Fosphenytoin Sodium,52110,
Bupivacaine 0.1%,52110,
NEO*IV*Tobramycin Sulfate,52110,
Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),52110,
Potassium Chl 40 mEq / 1000 mL D5W,52110,
Glyburide/Metformin (2.5mg-500mg),52110,
Methylprednisolone ACETATE,52110,
Phenytoin,52069,
tobramycin in 0.225 % NaCl,52069,
Butalbital-Aspirin-Caffeine,52069,
Omeprazole,52069,
Vancomycin ophthalmic solution,52069,
fluoc,52069,
Anamorelin HCl,52069,
Urelle,52069,
Pancreaze,52069,
Nefazodon,52069,
OxycoDONE Liquid,52069,
Digoxin Elixer,52069,
Inderal LA,52069,
Calcium Lactate,52069,
Pilocarpine 2%,52069,
D5LR,52069,
Diclofenac Sodium DR,52069,
nexium,52069,
Bosentan (Tracleer),52069,
Isosorbide,52069,
divalproex,52069,
brimonidine,52069,
Exelon Transdermal Patch,52069,
sod,52069,
H,52069,
Tromethamine,52069,
Heparin Flush Port (10units/ml),52069,
Calcitonin Salmon,52069,
Pangestyme-EC,52069,
Zosyn Desensitization,52069,
Aspirin Desensitization (AERD),52069,
Miconazole Nitrate 2% Vaginal Cream,52069,
NEO*PO*Hydrocortisone Sod Succinate,52069,
VITAMIN K*NEO,52069,
Prozac Brand Name,52069,
NEO*PO*Morphine,52069,
Ranolazine,52069,
sodium Bicar,52069,
Faslodex,52069,
sodium bicar,52069,
Lactic Acid 12% Lotion,52069,
Morphine Sulfate ,52069,
NEO*IV*Ceftazidime,52069,
Levoxyl,52069,
ALBUTEROL,52069,
Vitamin C,52069,
ValACYclovir,45694,
Defibrotide (*IND*),45694,
Singulair,45694,
Ribavirin *NF*,45694,
Meclizine HCl,45694,
esomeprazole,45694,
timolo,45694,
Ziprasidone Hydrochloride,45694,
Anagrelide,45694,
mu,45694,
reva,45694,
cycloSPORINE,45694,
White Petrolatum-Mineral Oil,45694,
Hydrocodone-Acetaminophen (5mg-500mg,45694,
PENTobarbital sodium,45694,
Mupirocin,45694,
BACTR,45694,
Protopic,45694,
Clorazepate Dipotassium,45694,
Darvocet-N 100,45694,
Quetiapine Fumarate,45694,
Ondanse,45694,
Mirapex,45694,
0.9% Sodium Chloride P.F. (Syringe),45694,
Desmopressi,45694,
Dronedarone,45694,
Patient Specific Narc Drip,45694,
Balanced Salt Opth. Soln,45694,
Triamcinolone 0.1% Ointment,45694,
Diphenhydramine (Benadryl) cream,45694,
Hydrocortisone,45694,
HCTZ/Triamterene (Maxzide),45694,
Dexamethas,45694,
Vytorin 10-80,45694,
Iopanoic Acid,45694,
VinORELbine (Navelbine),45694,
Sudafed,45694,
Riboflavin (Vitamin B-2),45694,
Tasmar,45694,
Lansoprazole Oral Suspension,45694,
Sulfasalazine EC,45694,
Famotidine (IV),45694,
Risperidone (Disintegrating Tablet),45694,
NEO*IM*Penicillin G Benzathine,45694,
Cinacalcet HCl,45694,
Helidac,45694,
Hepatitis A Vaccine,45694,
Nitroprusside Sodium,45694,
panc,45694,
Lubiprostone,45694,
Humalog 75/25 Pen,45694,
Scopolamine 0.25% Ophth Soln,45694,
albuterol,45694,
Isosorbide Monon,45694,
Hydrocortisone Enema,45694,
Cetacaine,45694,
Heparin Sodium (Preservative Free),45694,
Phenazopyridine,45694,
EpiPen,45694,
Nystatin-Triamcinolone,45694,
Quinidine Gluconate,45694,
Methylene ,45694,
Mupirocin Nasal Ointment 2%,45694,
Rescula,42634,
Guaifene,42634,
racemic epinephrine,42634,
Concerta (methylphenidate),42634,
Losartan Potassium,42634,
Simvastatin or placebo,42634,
Nicotine Lozenge,42634,
Sulfacetamide 10% Ophth. Oint.,42634,
NF*GENTAMICIN SOP,42634,
Saquinavir (Invirase) Cap,42634,
Ethacrynate Sodium,42634,
ACETAMINOPHEN (RECTAL),42634,
Collagenase,41075,
CGT003-03 E2F decoy,41075,
zafirlukast,41075,
cil,41075,
HYDROmorphone Infusion ? Comfort Care Guidelines,41075,
Ergocalciferol,41075,
Dilti,41075,
Oxandrolone,41075,
Povidone Iodine,41075,
Metoprolol Succinate XL,41075,
Epogen,41075,
Erythromycin Ethylsuccinate Suspension,41075,
Aluminum,41075,
insulin dum,41075,
SUMAtriptan succinate,41075,
Risperidone (Disintergrating Tablet),41075,
Emt,41075,
Ferric Gluconate,41075,
WelChol,41075,
Aspirin 81 mg or placebo ,41075,
Propylthiouracil,41075,
nabumetone,41075,
Capt,41075,
dorzolamide-timolol,41075,
Citalopram Hydrobromide,41075,
Lumigan *NF*,41075,
Urea,41075,
Insulin NPH Human Recomb,41075,
BuPROPio,41075,
Hepatitis B Immun Globulin (HepaGam B),41075,
Lidocaine 2%,41075,
NEO*IV*Digoxin,41075,
Silver Nitrate,41075,
propo,41075,
LaMICtal XR,41075,
Dopamine HCl,41075,
KCl,41075,
*NF* Warfarin,41075,
Zebeta,41075,
Tolterodine,41075,
Arthrotec 50,41075,
Valproic Acid,41075,
Divalproex Sod. Sprinkles,41075,
Hydromorphone,39678,
Chloramphenicol Na Succ,39678,
Insulin,39678,
Actiq,39678,
Mesalamine Enema,39678,
Bupivacain,39678,
Donnatol,39678,
Tetanus,39678,
Mycophenolate Mofetil,39678,
Sucralfate,39678,
Proprano,39678,
TraMADOL (Ultram),39678,
Bortezomib,39678,
Emtricitabine,39678,
Arimidex,39678,
Rosuvastatin,39678,
Anusol Suppository,39678,
Warfarin,39678,
Chlorhexidine Gluconate 0.12% Oral Rinse,39678,
Metoclopramide HCl,39678,
Cefazolin Desensitization,39678,
*NF* Risedronate Sodium,39678,
Ibutilide Fumarate,39678,
Hydrochlorothiazide,39678,
Disopyramide CR,39678,
Ethanol (Ethyl Alcohol),39678,
Ketoconazole Shampoo,39678,
theophylline,39678,
*NF,39678,
Tipranavir,39678,
Celecoxib,39678,
Albendazole,39678,
hyosc,39678,
ValGANCIclovir ,39678,
Tenofovir Disoproxil Fum.,39678,
charcoal,37702,
Lansoprazole,37702,
Tolnaftate 1% Cream,37702,
Heparin (IABP),37702,
METOCLOPRAMIDE,37702,
Sildenafil Citrate,37702,
Ciprofloxacin IV,37702,
Cephalexin,37702,
Salmeterol Xinafoate Diskus (50 mcg),37702,
Ceftriaxone,37702,
nutra,37702,
Fludrocortisone Acetate,37702,
Loraz,37702,
Mucinex,37702,
Terbinafine 1% Cream,37702,
Lactate Based CVVH Solution,37702,
*NF* Niacin,37702,
Testosterone 2.5mg Patch,37702,
AMP,37702,
Naloxone,37702,
Bactrim Desensitization,37702,
Hydrocortisone Study Drug (*IND*),37702,
Miconazole Nitrate (Combo Pack),37702,
Olopatadine,37702,
CefazoLIN,37702,
Linezolid,37702,
Fluticasone-Salmeterol (100/50),37702,
Glyburide/Metformin (1.25mg-250mg),37702,
Estradiol Transdermal Patch,37702,
Interferon Beta-1b,37702,
docosanol,37702,
Doxorubicin,37702,
*NF* Dornase Alfa Inh. Soln.,37702,
Stanozolol (Bulk),37702,
Ampicillin,37702,
Nystatin Oral Suspension,37702,
Ceftazidime,37702,
Drotrecogin Alfa (Xigris),37702,
linezolid,37702,
Senna,37702,
Zocor,37702,
Surgicel,37702,
Mebaral,37702,
Docusate Sodium,37702,
Benztropine Mesylate,37702,
Fluticasone Propionate 110mcg,37702,
HydrALAzine,37702,
Neutra-Phos,37702,
Ketorolac,37702,
Diclofenac Sodium,37702,
Morphine Sulfate,37702,
Heparin Sodium,37702,
Liothyronine Sodium,37673,
Mometasone furoate (Nasonex),37673,
NEO*IV*CeftazIDIME,37673,
Dakins 1/8 Strength,37673,
Boniva,37673,
*NF* Famciclovir,37673,
INSULIN ULTRALENTE,37673,
Monopril,37673,
Lansoprazole ,37673,
Prednisolone Acetate 1% Ophth. Susp.,37673,
Fluticasone-Salmeterol (250/50) ,37673,
Travatan Z,35409,
Meperi,35409,
Betaseron,35409,
Hydrocerin,35409,
Rosiglitazone Maleate,35409,
Loratadine,35409,
IRESSA,35409,
NEO*PR*Acetaminophen,35409,
Ondansetron Hcl,35409,
cilostazol,35409,
Peppermint ,35409,
Preparation H Maximum Strength,35409,
Estraderm,35409,
Emtricitabine-Tenofovir (Truvada),35409,
CycloSPORINE Modified (Neoral),35409,
Nateglinide,35409,
Interferon Alfa-2B,35409,
*NF* Esomeprazole,35409,
Afrin,35409,
exenatide,35409,
Fluocinolone Acetonide 0.01% Cream,35409,
Sulfa,35409,
NEO*PO*Acetaminophen Drops,35409,
DEXT,35409,
Truvada,35409,
Desmoteplase or Placebo,35409,
